status,min_cu,max_cu,mean_cu,median_cu,percentiles
failed,0,20666700.0,8.81,0.44,"[0.03, 0.05, 0.14, 0.24, 0.44, 0.77, 0.77, 1.31, 3.09]"
success,0,1777788.89,11.11,0.18,"[0.03, 0.05, 0.08, 0.13, 0.18, 0.29, 0.48, 1.14, 3.72]"
