status,min_cu,max_cu,mean_cu,median_cu,percentiles
failed,0,1400000,89381.28,29377.0,"[5521.0, 6504.0, 12526.0, 26224.0, 29377.0, 53220.0, 108241.0, 175120.0, 254304.0]"
success,0,1399998,97869.24,44519.0,"[2502.0, 12240.0, 23006.0, 34127.0, 44519.0, 64355.0, 90266.0, 135666.0, 205571.0]"
