program_id,failed_count
TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,1311623.0
EcySPHNCRAEKEooozbRT6f1xxJwuVhq7ruEVyNhP8RUP,1270173.0
51ZBxXZrwTNmi2UdgHF1Q3anfmudopFHNKiUhVjiWrLF,1265475.0
2wsZSAFFnNQVmqEegTJzcmeeo41tbpoCGb8anDbuMArq,1261090.0
9PjeyCaaWxSg3cL7Tp4QBpsDcstNP8jMLuCDRg6wi51y,1209269.0
PhoeNiXZ8ByJGLkxNfZRnkUfjvmuYqLR89jjFHGqdXY,1191455.0
KLqpn9TZJYunTt7Stjm4zu3Zeq2FmbrHsHzJKSzd3K8,1134380.0
cock3QRYepe6NurFcj5LMdRnQrjZVg5uP8ndfva1HuP,1106776.0
2Sj5s2PXHrLS4VQKpVC1C2iw7z8WZqqgEvbnVF5Rc65C,1040829.0
85B6mtPDvpGNLvrBgtW8mHGJLVCoYrJi3TCTy4fgSicJ,932035.0
jupoNjAxXgZ4rjzxzPMP4oxduvQsQtZzyknqvzYNrNu,875936.0
GUhB2ohrfqWspztgCrQpAmeVFBWmnWYhPcZuwY52WWRe,872005.0
5wALaSXNGPgYysVVrxuQ15ocn8iVfbDSU7bhZHuhXdwd,869036.0
GXoF2FynajVh57Zu3xWKshfovipDqbNTPdQzmkv1LAS,836798.0
A21cXTVY8nTYaMBYWLWfAWkFoVNtru25byEBHeBFLopt,820292.0
DMVJdxVgT2i2rmoK82cQZTF7WHryUCRoqX9nnToVSaLR,812610.0
8Dukjp9fQB1Pbi3dkPd4Nz8AHir5vnuKXCyrYzzQDor,778005.0
ALqmkguAexGywkd4EVEWnd6uqctJxsFU1SrtH1rLB6bK,752525.0
H2kByhW3LM9epZtHtqRAMYPXUvvQnkxZmFSF7h2JXi4L,750385.0
HARBRqBp3GL6BzN5CoSFnKVQMpGah4mkBCDFLxigGARB,691824.0
SAGE2HAwep459SNq61LHvjxPk4pLPEJLoMETef7f7EE,691261.0
GwgGhzj24L6JsxvnmQnhPinfcoXM3NAezjdbuQMVgw51,690679.0
orA4MUzq4RoRfS2boATkCv4F6PtJTLPvB9e378K7VVj,668657.0
481s8XFACzEbQokBjoZWUv976233jGP9k6SzN2Lu8fLt,666707.0
M3mxk5W2tt27WGT7THox7PmgRDp4m6NEhL5xvxrBfS1,660705.0
9yL9r9PcFfX3QM78noAyAscZekQue7djcKaxXDebaR1o,659004.0
3w57iMhv5Zk5VDuTe5dspm2FzE9zQhscCb9CZpAKobPW,614916.0
7PWnthtTsGnSpR4JLENYVoCJ5y5XwgELVbqgp6TkAFaH,610773.0
2DoboMZkMkmNMzWQKvRhrcdtqNzLFS2LQhEo813xvcYD,610723.0
777nJuyDvL6UYH3WaFZDbwywBhbwSBshatThUNnnfvQa,583540.0
oeAK18gksS6S4pvY4xDBHNFT5rXZZqwdLy6aqy9k3F1,560378.0
ibrPvj1fcUa8Grh6JzkPGZhrfC2ZDfUtmTUy7ooqojN,528499.0
PaRCLKPpkfHQfXTruT8yhEUx5oRNH8z8erBnzEerc8a,516161.0
2wT8Yq49kHgDzXuPxZSaeLaH1qbmGXtEyPy64bL7aD3c,480454.0
ComputeBudget111111111111111111111111111111,475473.0
5k8DQovpeT59yaHXQ35LyeiAkbfMfcoLucCHw32QuiKF,468001.0
srmqPvymJeFKQ4zGQed1GFppgkRHL9kaELCbyksJtPX,449327.0
SHARKobtfF1bHhxD2eqftjHBdVSCbKo9JtgK71FhELP,444594.0
pythWSnswVUd12oZpeFP8e9CVaEqJg25g1Vtc2biRsT,422967.0
SujiAGkLDyxJTEHbgbkkFae8sECsjVGUesGNqxubxNb,407822.0
MEV3feYJxXduqYwqVV2S37yKooYp5jbummDkcoshMi6,404085.0
GPpmyrjrvoEQqYcFPTCCc55j7htE2JzgkRqEbYNinoJN,401353.0
AP51WLiiqTdbZfgyRMs35PsZpdmLuPDdHYmrB23pEtMU,391541.0
oookDxbFEiuqNHrWwj4r7rGujPmdQ4KTpEvGe87KNpp,390736.0
SLikqHeSvqmH6gkwFZQVupvbCmko6yDJoy3yW8J4V6P,366692.0
Eo7WjKq67rjJQSZxS6z3YkapzY3eMj6Xy8X5EQVn5UaB,357935.0
87YkKeU6GCWBqEzUqe4k7X7Mw8UguY8VTadPWZgZLtN1,342919.0
3bzCJpq3wHb5Z3fpDth6Y33mz5sDsRD8zQhuDY6w96Ns,336130.0
E8uB9xQ8ffx3YyCbXDVKNMV2VpaHhgU8edCKi1ASDUTq,335081.0
