hour,total_txs,failed_ratio
2024-07-14 00:00:00.000 UTC,2673075.0,0.3529010596410501
2024-07-14 01:00:00.000 UTC,2707468.0,0.3696239438471664
2024-07-14 02:00:00.000 UTC,2875455.0,0.3816575115938173
2024-07-14 03:00:00.000 UTC,2958098.0,0.3890526953468073
2024-07-14 04:00:00.000 UTC,2797740.0,0.3446338830627578
2024-07-14 05:00:00.000 UTC,2691663.0,0.3266177823895487
2024-07-14 06:00:00.000 UTC,2760109.0,0.3243495093853177
2024-07-14 07:00:00.000 UTC,2989092.0,0.304901622298678
2024-07-14 08:00:00.000 UTC,3004897.0,0.349819644400457
2024-07-14 09:00:00.000 UTC,2808198.0,0.336904306605161
2024-07-14 10:00:00.000 UTC,2884645.0,0.3261805178800164
2024-07-14 11:00:00.000 UTC,3107567.0,0.3553982906885032
2024-07-14 12:00:00.000 UTC,3010087.0,0.3089747904296454
2024-07-14 13:00:00.000 UTC,3007783.0,0.3542945086131546
2024-07-14 14:00:00.000 UTC,2973895.0,0.297917041455734
2024-07-14 15:00:00.000 UTC,3088543.0,0.3093309693276085
2024-07-14 16:00:00.000 UTC,2943126.0,0.329700801120985
2024-07-14 17:00:00.000 UTC,2899002.0,0.3383519569838172
2024-07-14 18:00:00.000 UTC,2959327.0,0.3279580120750427
2024-07-14 19:00:00.000 UTC,3032045.0,0.3577334769107978
2024-07-14 20:00:00.000 UTC,3053586.0,0.3514847788796517
2024-07-14 21:00:00.000 UTC,2842186.0,0.3490172705093896
2024-07-14 22:00:00.000 UTC,2864077.0,0.3557013306555655
2024-07-14 23:00:00.000 UTC,2857694.0,0.3566092100833749
