status,count,min_fee,max_fee,mean_fee,median_fee,fee_percentiles
failed,1510834168.0,5000,50000005013.0,66427.56,8118,[5001 5096 5660 6416 8118 10792 15220 24833 60046]
success,1387340838.0,5000,90050005000.0,128538.8,5496,[5000 5000 5001 5049 5496 6921 9832 15771 33906]
